1um,5um,time (iso),1um arduino,arduino P1 ratio
2913,157,2015-08-18T16:03:16.969000,3621.11157651,5.83535640295
3277,173,2015-08-18T16:04:15.724000,5033.76492389,8.11511788114
2933,149,2015-08-18T16:05:14.477000,4601.02659111,7.41208078645
2268,134,2015-08-18T16:06:13.233000,2966.35699656,4.77759625607
1783,111,2015-08-18T16:07:11.989000,2704.92406983,4.35824832113
1598,81,2015-08-18T16:08:10.743000,1466.52968461,3.99481130102
1744,81,2015-08-18T16:09:09.499000,1117.86474022,3.87116552203
1524,71,2015-08-18T16:10:08.258000,2328.18466446,4.4348807275
1241,64,2015-08-18T16:11:07.014000,1779.22911874,3.91264746798
993,58,2015-08-18T16:12:05.770000,903.18522606,3.01112937732
918,51,2015-08-18T16:13:04.524000,819.536325072,2.74334176077
992,44,2015-08-18T16:14:03.280000,948.195560625,3.20442454634
1271,50,2015-08-18T16:15:02.037000,1080.41321777,3.66315901177
1871,69,2015-08-18T16:16:00.791000,969.338465745,3.23165531397
1835,70,2015-08-18T16:16:59.545000,835.713071118,2.78797221086
2182,100,2015-08-18T16:17:58.302000,1425.09412995,3.52234946112
4243,242,2015-08-18T16:18:57.057000,4430.49188848,7.1415996459
3914,218,2015-08-18T16:19:55.811000,9455.8000843,15.2372937416
3667,249,2015-08-18T16:20:54.568000,5891.60419802,9.49217440769
7361,540,2015-08-18T16:21:53.322000,7902.04224933,12.7358413537
8851,1233,2015-08-18T16:22:52.078000,13507.0575509,21.7601185849
6589,686,2015-08-18T16:23:50.830000,15858.1254882,25.5487347376
12923,2194,2015-08-18T16:24:49.587000,22714.1658021,36.5995755739
13308,2315,2015-08-18T16:25:48.342000,27829.2642572,44.8452743223
17989,3750,2015-08-18T16:26:47.097000,32781.3304893,52.8225239958
13183,2010,2015-08-18T16:27:45.853000,33256.0302269,53.5882302907
19894,4843,2015-08-18T16:28:44.610000,30850.1998291,49.7081906552
15106,2603,2015-08-18T16:29:43.367000,29868.6234495,48.126526119
16491,2879,2015-08-18T16:30:42.120000,30948.5163014,49.8697217188
14567,2185,2015-08-18T16:31:40.878000,31137.6389096,50.1744193876
13985,1937,2015-08-18T16:32:39.637000,30570.5678795,49.258887902
11141,1309,2015-08-18T16:33:38.393000,28435.2688213,45.8172425032
8586,799,2015-08-18T16:34:37.145000,22992.823314,37.0485796684
7280,615,2015-08-18T16:35:35.900000,19285.6363744,31.0761885261
