P2 ratio,P1 ratio,0.5um,1um,time (iso)
14.66,2.07,910.02,128.72,2015-08-01T04:32:29.102000
12.71,1.83,788.51,113.48,2015-08-01T04:33:31.891000
15.93,1.61,988.33,99.81,2015-08-01T04:34:34.517000
9.08,0.68,563.39,42.22,2015-08-01T04:35:36.649000
11.10,0.67,688.91,41.71,2015-08-01T04:36:39.458000
8.34,0.77,517.82,47.72,2015-08-01T04:37:42.053000
7.88,0.10,488.96,5.94,2015-08-01T04:38:44.780000
7.96,0.08,493.99,5.13,2015-08-01T04:39:48.074000
8.65,0.12,536.69,7.73,2015-08-01T04:40:51.176000
9.66,0.36,599.26,22.13,2015-08-01T04:41:54.341000
8.95,0.63,555.31,38.98,2015-08-01T04:42:56.863000
8.87,0.16,550.51,10.03,2015-08-01T04:44:00.345000
9.20,1.07,570.96,66.46,2015-08-01T04:45:03.853000
14.91,0.58,925.42,35.91,2015-08-01T04:46:06.917000
22.11,1.45,1372.08,90.04,2015-08-01T04:47:09.067000
27.21,5.08,1688.54,315.03,2015-08-01T04:48:11.345000
20.46,8.71,1269.96,540.41,2015-08-01T04:49:13.971000
10.64,3.20,660.17,198.85,2015-08-01T04:50:16.892000
9.57,0.43,593.93,26.73,2015-08-01T04:51:20.355000
12.23,0.45,759.10,27.66,2015-08-01T04:52:23.571000
12.05,3.77,747.62,234.06,2015-08-01T04:53:25.358000
11.62,1.51,721.13,93.78,2015-08-01T04:54:28.066000
11.26,1.76,699.07,109.16,2015-08-01T04:55:30.476000
10.43,1.49,647.48,92.48,2015-08-01T04:56:32.847000
10.84,0.79,673.04,48.91,2015-08-01T04:57:34.887000
10.08,0.54,625.80,33.28,2015-08-01T04:58:38.211000
9.85,1.16,611.10,72.12,2015-08-01T04:59:40.106000
11.80,0.40,732.61,25.12,2015-08-01T05:00:42.116000
9.10,1.05,564.53,65.17,2015-08-01T05:01:44.012000
10.14,0.46,629.57,28.58,2015-08-01T05:02:46.819000
10.70,0.59,664.15,36.65,2015-08-01T05:03:49.268000
9.52,0.59,590.65,36.46,2015-08-01T05:04:50.933000
13.60,1.33,844.09,82.71,2015-08-01T05:05:53.773000
10.05,0.79,623.60,49.31,2015-08-01T05:06:55.494000
10.31,1.47,639.77,91.44,2015-08-01T05:07:59.318000
11.17,0.74,692.95,46.21,2015-08-01T05:09:02.443000
11.09,1.11,688.24,68.80,2015-08-01T05:10:04.618000
9.49,1.00,588.97,61.81,2015-08-01T05:11:08.025000
10.62,1.09,659.36,67.54,2015-08-01T05:12:10.258000
11.05,0.80,685.69,49.52,2015-08-01T05:13:12.272000
11.75,0.63,729.06,39.04,2015-08-01T05:14:14.570000
11.18,0.72,693.59,44.97,2015-08-01T05:15:16.662000
11.19,1.79,694.45,111.05,2015-08-01T05:16:19.632000
11.26,1.16,698.96,71.83,2015-08-01T05:17:21.859000
10.03,1.18,622.32,73.12,2015-08-01T05:18:24.424000
13.49,1.62,837.02,100.70,2015-08-01T05:19:26.707000
12.10,1.79,750.89,110.84,2015-08-01T05:20:29.143000
10.56,1.61,655.11,99.70,2015-08-01T05:21:31.584000
12.17,1.97,755.48,122.41,2015-08-01T05:22:33.982000
11.20,1.37,695.27,84.91,2015-08-01T05:23:36.320000
14.48,2.69,898.79,166.81,2015-08-01T05:24:38.665000
13.01,1.62,807.60,100.57,2015-08-01T05:25:41.114000
12.61,2.04,782.87,126.43,2015-08-01T05:26:44.764000
12.02,1.63,745.94,101.41,2015-08-01T05:27:46.776000
12.87,1.22,798.66,75.41,2015-08-01T05:28:49.836000
12.09,1.45,750.30,89.68,2015-08-01T05:29:52.580000
13.29,1.24,824.60,76.91,2015-08-01T05:30:54.820000
