P2 ratio,P1 ratio,0.5um,1um,time (iso)
12.11,0.59,751.58,36.92,2015-08-07T03:51:34.605000
10.52,0.20,652.60,12.40,2015-08-07T03:52:37.229000
9.96,0.63,618.25,39.27,2015-08-07T03:53:39.288000
10.43,0.26,647.51,16.05,2015-08-07T03:54:41.650000
10.31,0.81,639.99,49.99,2015-08-07T03:55:45.011000
12.38,0.53,768.58,33.00,2015-08-07T03:56:47.501000
12.39,0.27,769.24,16.54,2015-08-07T03:57:49.895000
12.67,0.48,786.28,29.90,2015-08-07T03:58:52.429000
10.23,0.22,634.66,13.73,2015-08-07T03:59:55.889000
10.18,0.52,631.65,32.16,2015-08-07T04:00:58.247000
13.78,1.14,855.27,70.81,2015-08-07T04:02:01.044000
10.24,0.29,635.69,18.01,2015-08-07T04:03:03.950000
10.60,0.97,657.96,60.31,2015-08-07T04:04:06.418000
10.13,0.22,628.49,13.50,2015-08-07T04:05:08.469000
10.39,0.66,645.03,41.13,2015-08-07T04:06:11.413000
11.32,0.53,702.71,32.94,2015-08-07T04:07:13.889000
11.89,0.35,737.67,21.70,2015-08-07T04:08:17.571000
10.88,0.83,675.41,51.38,2015-08-07T04:09:20.120000
10.63,0.65,659.42,40.59,2015-08-07T04:10:22.516000
10.25,0.66,635.99,40.70,2015-08-07T04:11:24.894000
11.88,0.25,737.50,15.63,2015-08-07T04:12:27.285000
11.22,0.75,696.40,46.81,2015-08-07T04:13:29.020000
11.36,0.69,704.73,42.89,2015-08-07T04:14:32.107000
12.13,0.75,752.76,46.57,2015-08-07T04:15:34.375000
11.82,0.41,733.69,25.20,2015-08-07T04:16:37.957000
9.48,0.84,588.33,51.87,2015-08-07T04:17:39.832000
9.55,0.24,592.38,15.06,2015-08-07T04:18:42.189000
9.86,0.42,611.82,26.30,2015-08-07T04:19:44.346000
9.62,0.54,597.18,33.63,2015-08-07T04:20:47.848000
11.47,0.51,711.92,31.87,2015-08-07T04:21:49.788000
9.47,0.82,587.42,50.93,2015-08-07T04:22:51.712000
11.36,0.42,705.29,25.79,2015-08-07T04:23:54.975000
11.71,0.65,726.82,40.13,2015-08-07T04:24:58.176000
10.54,0.44,653.87,27.48,2015-08-07T04:26:01.156000
10.28,0.67,638.14,41.40,2015-08-07T04:27:04.178000
10.84,0.59,672.93,36.78,2015-08-07T04:28:06.651000
10.62,0.71,659.19,44.29,2015-08-07T04:29:09.312000
10.66,0.55,661.44,34.07,2015-08-07T04:30:12.559000
11.07,1.06,687.08,65.93,2015-08-07T04:31:15.637000
11.12,0.50,690.22,31.16,2015-08-07T04:32:17.872000
10.97,0.85,680.74,52.50,2015-08-07T04:33:20.431000
10.18,0.37,631.77,22.66,2015-08-07T04:34:23.825000
10.27,0.61,637.14,37.95,2015-08-07T04:35:25.876000
10.70,0.75,663.98,46.68,2015-08-07T04:36:29.401000
11.98,0.48,743.46,29.76,2015-08-07T04:37:31.649000
11.08,0.37,687.69,22.91,2015-08-07T04:38:33.921000
11.82,0.71,733.60,44.02,2015-08-07T04:39:36.737000
14.38,0.39,892.51,24.03,2015-08-07T04:40:39.726000
11.29,0.80,700.61,49.72,2015-08-07T04:41:43.427000
